Date,Amount,Category,Description
2024-01-01,100.0,Groceries,Weekly grocery shopping
2024-01-05,50.0,Rent,Monthly rent payment
2024-01-10,75.0,Entertainment,Movie tickets and dinner
2024-01-15,20.0,Groceries,Additional grocery items
2024-02-01,120.0,Utilities,Electricity bill
2024-02-10,30.0,Entertainment,Concert tickets
2024-03-01,150.0,Rent,Monthly rent payment
2024-03-05,25.0,Utilities,Water bill
2024-03-15,60.0,Groceries,Monthly grocery shopping
2024-08-30,1500.0,Rent,change of rent
2024-08-31,230.0,Entertainment,new set of headphones
